gpsData.latitude,gpsData.longitude,presentTs
31.62787437,119.0318375,25544987.52
31.62790108,119.0319138,25545108.05
31.62777138,119.0319214,25545228.18
31.62782288,119.0318527,25545348.82
31.62785339,119.0317917,25545429.88
31.62648582,119.0350876,25545432.98
31.62769318,119.0446091,25545436.07
31.63192177,119.0474777,25545439.17
31.63940239,119.047226,25545442.27
31.6393261,119.0453949,25545445.37
31.6394558,119.0452499,25545448.48
31.63927078,119.0367432,25545484.58
31.63898277,119.028183,25545487.68
31.63910866,119.0284653,25545490.8
31.63905716,119.0284195,25545493.92
31.63901901,119.0283737,25545497.03
31.63910103,119.0283279,25545500.37
31.63891602,119.0283813,25545503.45
31.63879204,119.0282593,25545506.55
31.63907242,119.0283356,25545509.63
31.63901901,119.0283432,25545512.9
31.63904572,119.0283737,25545516.1
31.63895416,119.0288544,25545519.22
31.63928032,119.0288467,25545522.42
31.63910484,119.0288086,25545525.5
31.63898849,119.0288239,25545528.65
31.63895988,119.0287857,25545531.75
31.64069366,119.0284805,25545535
31.63902855,119.0287552,25545538.12
31.63883781,119.0287628,25545541.28
31.63895607,119.028862,25545544.37
31.63903427,119.0287704,25545547.53
31.63895607,119.0287399,25545550.68
31.63889313,119.028801,25545553.85
31.63894844,119.0437012,25545557.58
31.64053535,119.0472031,25545560.67
31.63914108,119.0446243,25545563.75
31.63949776,119.0445404,25545566.82
31.63895988,119.0446548,25545572.9
31.63922882,119.0427704,25545600.05
31.63921547,119.0361328,25545603.3
31.63879776,119.028801,25545606.45
31.63982964,119.0283051,25545609.62
31.6392746,119.0285416,25545612.8
31.63918877,119.0283813,25545616.8
31.63954544,119.0287018,25545619.98
31.63905525,119.0283203,25545623.25
31.6395092,119.0287399,25545626.4
31.6388607,119.0291748,25545629.65
31.63894081,119.0292816,25545632.9
31.63890266,119.0291748,25545636.08
31.63907814,119.029129,25545639.2
31.63911819,119.029274,25545642.47
31.6389904,119.0297318,25545646.02
31.63832283,119.0294113,25545649.27
31.63902092,119.0295639,25545652.82
31.6385498,119.029686,25545656.07
31.63860512,119.0296631,25545659.52
31.63893127,119.0302048,25545662.7
31.63857269,119.029686,25545666.1
31.63892174,119.0293808,25545669.35
31.63898087,119.0297165,25545672.43
31.63858986,119.0300293,25545675.53
31.63876343,119.0299683,25545678.62
31.63899612,119.02948,25545681.72
31.63802528,119.0307083,25545684.83
31.63912392,119.0295639,25545687.93
31.63895607,119.0298615,25545691.02
31.63723946,119.036232,25545694.48
31.62994576,119.036026,25545698.23
31.62781525,119.0318146,25545705.63
