00-01-01 00:00:02 --- one package
00-01-01 00:00:03 --- -1043   410  9050
00-01-01 00:00:03 ---  -851  -244  9006
00-01-01 00:00:03 ---  -679  -947  8802
00-01-01 00:00:03 ---  -624 -1331  8438
00-01-01 00:00:03 ---  -626 -1184  7979
00-01-01 00:00:03 ---  -652  -578  7556
00-01-01 00:00:03 ---  -216   134  7294
00-01-01 00:00:03 ---   150   560  7254
00-01-01 00:00:03 ---   407   507  7386
00-01-01 00:00:03 ---   372   -35  7626
00-01-01 00:00:03 ---     8  -727  7875
00-01-01 00:00:03 ---  -555 -1172  8142
00-01-01 00:00:03 --- -1102 -1136  8419
00-01-01 00:00:03 --- -1473  -567  8709
00-01-01 00:00:03 --- -1557   251  9059
00-01-01 00:00:03 --- -1356   879  9297
00-01-01 00:00:03 --- -1051  1023  9343
00-01-01 00:00:03 ---  -786   589  9145
00-01-01 00:00:03 ---  -683  -199  8722
00-01-01 00:00:03 ---  -712  -939  8282
00-01-01 00:00:03 ---  -718 -1331  7929
00-01-01 00:00:03 ---  -593 -1235  7678
00-01-01 00:00:03 ---  -292  -785  7514
00-01-01 00:00:03 ---    71  -285  7372
00-01-01 00:00:03 ---   324   -25  7355
00-01-01 00:00:03 ---   341   -80  7562
00-01-01 00:00:03 ---   100  -401  7950
00-01-01 00:00:03 ---  -379  -724  8458
00-01-01 00:00:03 ---  -904  -798  8863
00-01-01 00:00:03 --- -1263  -607  9072
00-01-01 00:00:03 --- -1357  -214  9097
00-01-01 00:00:03 --- -1195   156  9006
00-01-01 00:00:03 ---  -908   300  8895
00-01-01 00:00:03 ---  -667   194  8787
00-01-01 00:00:03 ---  -517  -134  8589
00-01-01 00:00:03 ---  -405  -503  8299
00-01-01 00:00:03 ---  -271  -716  7875
00-01-01 00:00:03 ---  -140  -693  7443
00-01-01 00:00:03 ---    24  -500  7152
00-01-01 00:00:03 ---   113  -342  7036
00-01-01 00:00:03 ---    85  -287  7205
00-01-01 00:00:03 ---    16  -497  7541
00-01-01 00:00:03 ---  -291  -727  8033
00-01-01 00:00:04 ---  -658  -781  8565
00-01-01 00:00:04 --- -1022  -601  8989
00-01-01 00:00:04 --- -1368  -127  9226
00-01-01 00:00:04 --- -1469   426  9292
00-01-01 00:00:04 --- -1384   734  9212
00-01-01 00:00:04 --- -1149   634  9104
00-01-01 00:00:04 ---  -796    76  8947
00-01-01 00:00:04 --- one package
00-01-01 00:00:04 ---  -883   854  9150
00-01-01 00:00:04 ---  -957   334  9430
00-01-01 00:00:04 --- -1103  -366  9427
00-01-01 00:00:04 --- -1196  -936  9116
00-01-01 00:00:04 --- -1178 -1106  8683
00-01-01 00:00:04 ---  -924  -845  8232
00-01-01 00:00:04 ---  -524  -401  7880
00-01-01 00:00:04 ---  -110    10  7630
00-01-01 00:00:04 ---   218    61  7448
00-01-01 00:00:04 ---   416  -255  7355
00-01-01 00:00:04 ---   452  -746  7386
00-01-01 00:00:04 ---   304 -1118  7533
00-01-01 00:00:04 ---    -3 -1095  7774
00-01-01 00:00:04 ---  -444  -735  8053
00-01-01 00:00:04 ---  -849  -119  8379
00-01-01 00:00:04 --- -1065   354  8726
00-01-01 00:00:04 --- -1216   505  9079
00-01-01 00:00:04 --- -1203   373  9362
00-01-01 00:00:04 --- -1176   -15  9430
00-01-01 00:00:04 --- -1192  -349  9232
00-01-01 00:00:04 --- -1138  -423  8823
00-01-01 00:00:04 --- -1010  -338  8308
00-01-01 00:00:04 ---  -732  -163  7853
00-01-01 00:00:04 ---  -278  -152  7499
00-01-01 00:00:04 ---   121  -414  7285
00-01-01 00:00:04 ---   372  -799  7176
00-01-01 00:00:04 ---   332 -1117  7235
00-01-01 00:00:04 ---    79 -1154  7427
00-01-01 00:00:04 ---  -225  -798  7764
00-01-01 00:00:04 ---  -472  -224  8194
00-01-01 00:00:04 ---  -680   386  8645
00-01-01 00:00:04 ---  -851   711  9004
00-01-01 00:00:04 --- -1019   595  9213
00-01-01 00:00:04 --- -1180   151  9242
00-01-01 00:00:04 --- -1262  -425  9201
00-01-01 00:00:04 --- -1285  -781  9139
00-01-01 00:00:04 --- -1258  -713  9023
00-01-01 00:00:04 --- -1077  -329  8749
00-01-01 00:00:04 ---  -766   135  8251
00-01-01 00:00:04 ---  -361   354  7611
00-01-01 00:00:04 ---    24   116  7125
00-01-01 00:00:04 ---   246  -480  6958
00-01-01 00:00:04 ---   232 -1179  7151
00-01-01 00:00:04 ---    55 -1613  7525
00-01-01 00:00:04 ---  -206 -1525  7843
00-01-01 00:00:04 ---  -518  -904  8085
00-01-01 00:00:04 ---  -757   -41  8302
00-01-01 00:00:04 ---  -934   701  8646
00-01-01 00:00:04 --- -1015   969  9117
00-01-01 00:00:04 --- -1013   661  9498
00-01-01 00:00:04 --- -1066     1  9376
00-01-01 00:00:04 --- -1108  -681  8896
00-01-01 00:00:05 --- -1073 -1056  8441
00-01-01 00:00:05 ---  -886  -974  7970
00-01-01 00:00:05 ---  -539  -564  7595
00-01-01 00:00:05 ---  -153   -93  7329
00-01-01 00:00:05 ---   152  -115  7167
00-01-01 00:00:05 ---   344  -572  7183
00-01-01 00:00:05 ---   408 -1035  7350
00-01-01 00:00:05 ---   300 -1192  7626
00-01-01 00:00:05 ---    35  -974  7949
00-01-01 00:00:05 ---  -890  -407  8298
00-01-01 00:00:05 --- -1092   198  8664
00-01-01 00:00:05 --- -1104   510  9048
00-01-01 00:00:05 --- -1252   507  9389
00-01-01 00:00:05 --- -1133   175  9551
00-01-01 00:00:05 --- -1083  -270  9441
00-01-01 00:00:05 --- -1010  -491  9099
00-01-01 00:00:05 ---  -888  -497  8587
00-01-01 00:00:05 ---  -678  -315  8063
00-01-01 00:00:05 ---  -297  -165  7605
00-01-01 00:00:05 ---   110  -266  7253
00-01-01 00:00:05 ---   364  -601  7017
00-01-01 00:00:05 ---   398  -986  6998
00-01-01 00:00:05 ---   180 -1238  7179
00-01-01 00:00:05 ---  -147 -1102  7540
00-01-01 00:00:05 ---  -460  -631  8033
00-01-01 00:00:05 ---  -748    19  8534
00-01-01 00:00:05 --- -1022   580  8941
00-01-01 00:00:05 --- -1211   739  9207
00-01-01 00:00:05 --- -1354   491  9278
00-01-01 00:00:05 --- -1390   -50  9280
00-01-01 00:00:05 --- -1322  -563  9264
00-01-01 00:00:05 --- -1243  -736  9222
00-01-01 00:00:05 --- -1055  -524  9039
00-01-01 00:00:05 ---  -732   -77  8575
00-01-01 00:00:05 ---  -320   304  7878
00-01-01 00:00:05 ---    94   320  7202
00-01-01 00:00:05 ---   351   -92  6813
00-01-01 00:00:05 ---   355  -765  6833
00-01-01 00:00:05 ---   156 -1381  7179
00-01-01 00:00:05 ---  -150 -1600  7560
00-01-01 00:00:05 ---  -496 -1250  7888
00-01-01 00:00:05 ---  -788  -503  8160
00-01-01 00:00:05 ---  -992   341  8486
00-01-01 00:00:05 --- -1076   864  8954
00-01-01 00:00:05 --- -1057   820  9409
00-01-01 00:00:05 --- -1048   290  9655
00-01-01 00:00:05 --- -1083  -438  9583
00-01-01 00:00:05 --- -1070 -1016  9205
00-01-01 00:00:05 ---  -964 -1156  8736
00-01-01 00:00:05 ---  -659  -860  8264
