00-01-01 00:00:02 --- one package
00-01-01 00:00:03 ---  -567  -125  8265
00-01-01 00:00:03 ---  -567  -129  8278
00-01-01 00:00:03 ---  -559  -133  8279
00-01-01 00:00:03 ---  -557  -137  8282
00-01-01 00:00:03 ---  -553  -139  8291
00-01-01 00:00:03 ---  -549  -144  8292
00-01-01 00:00:03 ---  -556  -142  8293
00-01-01 00:00:03 ---  -553  -141  8293
00-01-01 00:00:03 ---  -554  -138  8286
00-01-01 00:00:03 ---  -554  -133  8280
00-01-01 00:00:03 ---  -545  -130  8279
00-01-01 00:00:03 ---  -539  -130  8270
00-01-01 00:00:03 ---  -534  -134  8271
00-01-01 00:00:03 ---  -531  -137  8266
00-01-01 00:00:03 ---  -526  -139  8270
00-01-01 00:00:03 ---  -523  -139  8271
00-01-01 00:00:03 ---  -518  -136  8279
00-01-01 00:00:03 ---  -512  -134  8277
00-01-01 00:00:03 ---  -509  -133  8278
00-01-01 00:00:03 ---  -504  -135  8271
00-01-01 00:00:03 ---  -496  -135  8265
00-01-01 00:00:03 ---  -497  -137  8258
00-01-01 00:00:03 ---  -496  -139  8256
00-01-01 00:00:03 ---  -495  -139  8263
00-01-01 00:00:03 ---  -496  -141  8265
00-01-01 00:00:03 ---  -499  -141  8279
00-01-01 00:00:03 ---  -496  -139  8276
00-01-01 00:00:03 ---  -497  -136  8273
00-01-01 00:00:03 ---  -499  -138  8267
00-01-01 00:00:03 ---  -494  -141  8264
00-01-01 00:00:03 ---  -489  -147  8269
00-01-01 00:00:03 ---  -479  -153  8275
00-01-01 00:00:03 ---  -464  -153  8281
00-01-01 00:00:03 ---  -464  -148  8280
00-01-01 00:00:03 ---  -460  -148  8278
00-01-01 00:00:03 ---  -468  -144  8284
00-01-01 00:00:03 ---  -478  -144  8285
00-01-01 00:00:03 ---  -490  -147  8292
00-01-01 00:00:03 ---  -502  -148  8289
00-01-01 00:00:03 ---  -520  -145  8290
00-01-01 00:00:03 ---  -522  -145  8281
00-01-01 00:00:03 ---  -522  -136  8275
00-01-01 00:00:03 ---  -511  -132  8268
00-01-01 00:00:03 ---  -507  -131  8262
00-01-01 00:00:03 ---  -501  -131  8257
00-01-01 00:00:03 ---  -500  -132  8261
00-01-01 00:00:03 ---  -504  -129  8266
00-01-01 00:00:03 ---  -504  -123  8274
00-01-01 00:00:03 ---  -510  -119  8279
00-01-01 00:00:03 ---  -511  -116  8273
00-01-01 00:00:03 ---  -518  -119  8269
00-01-01 00:00:03 ---  -518  -125  8276
00-01-01 00:00:03 ---  -513  -135  8279
00-01-01 00:00:03 ---  -505  -137  8285
00-01-01 00:00:03 ---  -501  -126  8286
00-01-01 00:00:03 ---  -496  -119  8285
00-01-01 00:00:03 ---  -498  -111  8291
00-01-01 00:00:03 ---  -502  -107  8292
00-01-01 00:00:03 ---  -495  -106  8295
00-01-01 00:00:03 ---  -492  -104  8291
00-01-01 00:00:03 ---  -493  -111  8278
00-01-01 00:00:03 ---  -506  -120  8273
00-01-01 00:00:03 ---  -525  -132  8263
00-01-01 00:00:04 ---  -536  -144  8266
00-01-01 00:00:04 ---  -543  -146  8265
00-01-01 00:00:04 ---  -541  -147  8272
00-01-01 00:00:04 ---  -533  -141  8269
00-01-01 00:00:04 ---  -526  -135  8266
00-01-01 00:00:04 ---  -525  -125  8264
00-01-01 00:00:04 ---  -522  -124  8260
00-01-01 00:00:04 --- one package
00-01-01 00:00:04 ---  -533  -149  8302
00-01-01 00:00:04 ---  -529  -152  8305
00-01-01 00:00:04 ---  -529  -158  8308
00-01-01 00:00:04 ---  -528  -161  8308
00-01-01 00:00:04 ---  -530  -164  8308
00-01-01 00:00:04 ---  -531  -165  8307
00-01-01 00:00:04 ---  -531  -161  8309
00-01-01 00:00:04 ---  -520  -161  8308
00-01-01 00:00:04 ---  -508  -152  8313
00-01-01 00:00:04 ---  -498  -143  8310
00-01-01 00:00:04 ---  -488  -134  8306
00-01-01 00:00:04 ---  -484  -124  8307
00-01-01 00:00:04 ---  -486  -112  8310
00-01-01 00:00:04 ---  -486  -104  8320
00-01-01 00:00:04 ---  -493   -89  8334
00-01-01 00:00:04 ---  -497   -82  8329
00-01-01 00:00:04 ---  -503   -76  8324
00-01-01 00:00:04 ---  -502   -72  8309
00-01-01 00:00:04 ---  -505   -71  8299
00-01-01 00:00:04 ---  -500   -66  8287
00-01-01 00:00:04 ---  -492   -58  8280
00-01-01 00:00:04 ---  -484   -49  8263
00-01-01 00:00:04 ---  -480   -36  8261
00-01-01 00:00:04 ---  -475   -31  8255
00-01-01 00:00:04 ---  -476   -32  8257
00-01-01 00:00:04 ---  -479   -34  8263
