00-01-01 00:00:02 --- one package
00-01-01 00:00:04 --- -1971  1811  9098
00-01-01 00:00:04 --- -1922  1740  8994
00-01-01 00:00:04 --- -1600  1670  8886
00-01-01 00:00:04 --- -1763  1597  8772
00-01-01 00:00:04 --- -1544  1526  8659
00-01-01 00:00:04 --- -1437  1449  8552
00-01-01 00:00:04 --- -1359  1375  8461
00-01-01 00:00:04 --- -1291  1299  8377
00-01-01 00:00:04 --- -1232  1228  8322
00-01-01 00:00:04 --- -1177  1156  8276
00-01-01 00:00:04 --- -1121  1082  8237
00-01-01 00:00:04 --- -1064  1007  8205
00-01-01 00:00:04 --- -1012   921  8162
00-01-01 00:00:04 ---  -964   836  8133
00-01-01 00:00:04 ---  -922   746  8108
00-01-01 00:00:04 ---  -896   661  8089
00-01-01 00:00:04 ---  -883   572  8088
00-01-01 00:00:04 ---  -887   484  8103
00-01-01 00:00:04 ---  -907   389  8146
00-01-01 00:00:04 ---  -941   293  8187
00-01-01 00:00:04 ---  -974   196  8242
00-01-01 00:00:04 --- -1011   106  8284
00-01-01 00:00:04 --- -1040    22  8347
00-01-01 00:00:04 --- -1056   -52  8423
00-01-01 00:00:04 --- -1063  -118  8536
00-01-01 00:00:04 --- -1062  -179  8669
00-01-01 00:00:04 --- -1057  -226  8840
00-01-01 00:00:04 --- -1054  -269  9032
00-01-01 00:00:04 --- -1042  -292  9240
00-01-01 00:00:04 --- -1018  -303  9447
00-01-01 00:00:04 ---  -987  -307  9644
00-01-01 00:00:04 ---  -935  -293  9829
00-01-01 00:00:04 ---  -878  -280 10017
00-01-01 00:00:04 ---  -816  -250 10202
00-01-01 00:00:04 ---  -742  -217 10379
00-01-01 00:00:04 ---  -660  -167 10553
00-01-01 00:00:04 ---  -576  -109 10715
00-01-01 00:00:04 ---  -485   -36 10862
00-01-01 00:00:04 ---  -400    43 11000
00-01-01 00:00:05 ---  -312   128 11121
00-01-01 00:00:05 ---  -220   207 11211
00-01-01 00:00:05 ---  -116   282 11259
00-01-01 00:00:05 ---     5   350 11257
00-01-01 00:00:05 ---   140   411 11173
00-01-01 00:00:05 ---   293   466 11023
00-01-01 00:00:05 ---   447   509 10796
00-01-01 00:00:05 ---   618   545 10526
00-01-01 00:00:05 ---   778   563 10220
00-01-01 00:00:05 ---   944   576  9917
00-01-01 00:00:05 ---  1099   576  9631
00-01-01 00:00:05 ---  1252   567  9414
00-01-01 00:00:05 ---  1393   549  9263
00-01-01 00:00:05 ---  1520   523  9228
00-01-01 00:00:05 ---  1627   497  9295
